Best Val Accuracy: 0.8403,Epoch: 9

epoch,accuracy,loss,val_accuracy,val_loss
1,0.5786320567131042,0.6884630918502808,0.6147704720497131,0.6257809400558472
2,0.6764853000640869,0.5883647203445435,0.6746506690979004,0.5362198948860168
3,0.7368946671485901,0.5141801238059998,0.6926147937774658,0.5383090972900391
4,0.7748377323150635,0.479449987411499,0.772455096244812,0.4544554352760315
5,0.799301028251648,0.44423696398735046,0.8243513107299805,0.40586328506469727
6,0.8057913184165955,0.42790859937667847,0.832335352897644,0.4010658860206604
7,0.8142786026000977,0.4192451536655426,0.8303393125534058,0.4095132648944855
8,0.8287568688392639,0.4025833010673523,0.8303393125534058,0.38608381152153015
9,0.8297553658485413,0.3927413523197174,0.8403193354606628,0.3732689321041107
10,0.8442336320877075,0.38125720620155334,0.8403193354606628,0.3739572763442993
