Best Val Accuracy: 0.8164,Epoch: 8

epoch,accuracy,loss,val_accuracy,val_loss
1,0.5741388201713562,0.763299286365509,0.6147704720497131,0.6747357249259949
2,0.5936095714569092,0.6757903695106506,0.6147704720497131,0.6567004919052124
3,0.6290563941001892,0.6602388620376587,0.6167664527893066,0.6416263580322266
4,0.633549690246582,0.6272340416908264,0.7265468835830688,0.602451741695404
5,0.6804792881011963,0.5733696222305298,0.7345309257507324,0.5077798962593079
6,0.7383924126625061,0.5175812840461731,0.7684630751609802,0.498574823141098
7,0.7643534541130066,0.48550504446029663,0.7504990100860596,0.46787169575691223
8,0.782825767993927,0.45932847261428833,0.8163672685623169,0.4127442240715027
9,0.7948077917098999,0.44591620564460754,0.7704590559005737,0.4401949644088745
10,0.7988017797470093,0.43380093574523926,0.8083832263946533,0.4056265652179718
