Best Val Accuracy: 0.9361,Epoch: 23

epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6784822940826416,0.5870645642280579,0.7924151420593262,0.4586930274963379,0.0010000000474974513
2,0.7998002767562866,0.4578094780445099,0.7644710540771484,0.4392571449279785,0.0010000000474974513
3,0.8377434015274048,0.39991888403892517,0.8582834601402283,0.35939696431159973,0.0010000000474974513
4,0.8716924786567688,0.35781538486480713,0.886227548122406,0.3450128436088562,0.0010000000474974513
5,0.8716924786567688,0.3483477234840393,0.8842315077781677,0.33883270621299744,0.0010000000474974513
6,0.881677508354187,0.3236806094646454,0.8822355270385742,0.3189978003501892,0.0010000000474974513
7,0.8876684904098511,0.2988685071468353,0.9061876535415649,0.2907220423221588,0.0010000000474974513
8,0.899650514125824,0.27227744460105896,0.9001995921134949,0.26314789056777954,0.0010000000474974513
9,0.9056415557861328,0.24935689568519592,0.9201596975326538,0.2401270568370819,0.0010000000474974513
10,0.9106340408325195,0.2397950291633606,0.9081836342811584,0.24455319344997406,0.0010000000474974513
11,0.9101347923278809,0.24597874283790588,0.8942115902900696,0.31396257877349854,0.0010000000474974513
12,0.9181228280067444,0.22792771458625793,0.9081836342811584,0.23753951489925385,0.0010000000474974513
13,0.9111332893371582,0.23358392715454102,0.9281437397003174,0.21622925996780396,0.0010000000474974513
14,0.9281078577041626,0.19250066578388214,0.9281437397003174,0.2173984944820404,0.0010000000474974513
15,0.9296056032180786,0.1821286380290985,0.9141716361045837,0.23549635708332062,0.0010000000474974513
16,0.9380928874015808,0.1718602031469345,0.9201596975326538,0.23618492484092712,0.0010000000474974513
17,0.935097336769104,0.16360275447368622,0.9281437397003174,0.2149733155965805,0.0005000000237487257
18,0.9400898814201355,0.1616467833518982,0.9221556782722473,0.2151058465242386,0.0005000000237487257
19,0.9385921359062195,0.15091659128665924,0.9241517186164856,0.20377367734909058,0.0005000000237487257
20,0.9415876269340515,0.15108783543109894,0.9321357011795044,0.21219022572040558,0.0005000000237487257
21,0.9455816149711609,0.14488498866558075,0.9321357011795044,0.21923743188381195,0.0005000000237487257
22,0.9435846209526062,0.1487646847963333,0.9341317415237427,0.19767126441001892,0.0005000000237487257
23,0.9440838694572449,0.13582386076450348,0.9361277222633362,0.20797674357891083,0.0005000000237487257
24,0.9445831179618835,0.13420335948467255,0.9221556782722473,0.20725500583648682,0.0005000000237487257
25,0.951073408126831,0.1337771713733673,0.9341317415237427,0.20466384291648865,0.0005000000237487257
26,0.9500749111175537,0.12146815657615662,0.9361277222633362,0.204406276345253,0.0002500000118743628
27,0.949575662612915,0.12882359325885773,0.9321357011795044,0.21069973707199097,0.0002500000118743628
