Best Val Accuracy: 0.8850,Epoch: 55

epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6022364497184753,0.6761756539344788,0.6166134476661682,0.6569091081619263,0.0010000000474974513
2,0.6289936304092407,0.6288461685180664,0.6709265112876892,0.5776190757751465,0.0010000000474974513
3,0.6932907104492188,0.5410652756690979,0.690095841884613,0.5295922756195068,0.0010000000474974513
4,0.75,0.48592716455459595,0.7476038336753845,0.48888224363327026,0.0010000000474974513
5,0.7759584784507751,0.45312708616256714,0.7699680328369141,0.4658329486846924,0.0010000000474974513
6,0.7879393100738525,0.433051198720932,0.7859424948692322,0.4518889784812927,0.0010000000474974513
7,0.8075079917907715,0.4193575084209442,0.8083066940307617,0.44719555974006653,0.0010000000474974513
8,0.8170926570892334,0.3962283432483673,0.8115016222000122,0.41393229365348816,0.0010000000474974513
9,0.830670952796936,0.37887874245643616,0.779552698135376,0.451163649559021,0.0010000000474974513
10,0.8326677083969116,0.3839700222015381,0.8019169569015503,0.41998714208602905,0.0010000000474974513
11,0.8394568562507629,0.36954665184020996,0.8210862874984741,0.39673149585723877,0.0010000000474974513
12,0.8398562073707581,0.35979580879211426,0.8178913593292236,0.3890875279903412,0.0010000000474974513
13,0.8498402833938599,0.3511632978916168,0.8083066940307617,0.39663034677505493,0.0010000000474974513
14,0.840255618095398,0.3556798994541168,0.8434504866600037,0.372321218252182,0.0010000000474974513
15,0.8506389856338501,0.3418245017528534,0.8146964907646179,0.41297945380210876,0.0010000000474974513
16,0.8450479507446289,0.35184338688850403,0.8338658213615417,0.37812674045562744,0.0010000000474974513
17,0.8594249486923218,0.3342837393283844,0.8530351519584656,0.3549612760543823,0.0010000000474974513
18,0.8598242998123169,0.3293975591659546,0.8338658213615417,0.35464805364608765,0.0010000000474974513
19,0.8642172813415527,0.3236028552055359,0.8274760246276855,0.36286041140556335,0.0010000000474974513
20,0.8662140369415283,0.31700626015663147,0.8338658213615417,0.350608766078949,0.0010000000474974513
21,0.8722044825553894,0.3075704574584961,0.8434504866600037,0.3418479263782501,0.0010000000474974513
22,0.8730031847953796,0.3070107698440552,0.8434504866600037,0.3354852497577667,0.0010000000474974513
23,0.8765974640846252,0.3013544976711273,0.8690096139907837,0.32940033078193665,0.0010000000474974513
24,0.8805910348892212,0.29397526383399963,0.8530351519584656,0.3203983008861542,0.0010000000474974513
25,0.8781948685646057,0.29185324907302856,0.8690096139907837,0.32065290212631226,0.0010000000474974513
26,0.8765974640846252,0.2990204989910126,0.8594249486923218,0.3573024868965149,0.0010000000474974513
27,0.8829872012138367,0.2865676283836365,0.8722044825553894,0.318969190120697,0.0010000000474974513
28,0.8881788849830627,0.28007420897483826,0.8562300205230713,0.32453402876853943,0.0010000000474974513
29,0.8881788849830627,0.2751379907131195,0.8498402833938599,0.32664790749549866,0.0010000000474974513
30,0.8889776468276978,0.273308128118515,0.8626198172569275,0.3059011399745941,0.0010000000474974513
31,0.8933706283569336,0.27009013295173645,0.8498402833938599,0.32628124952316284,0.0010000000474974513
32,0.8937699794769287,0.2689925730228424,0.8658146858215332,0.3086256682872772,0.0010000000474974513
33,0.894568681716919,0.26769644021987915,0.8530351519584656,0.33972492814064026,0.0010000000474974513
34,0.8953673839569092,0.26336392760276794,0.8658146858215332,0.30812326073646545,0.0005000000237487257
35,0.8973641991615295,0.25752729177474976,0.8658146858215332,0.2988567054271698,0.0005000000237487257
36,0.9029552936553955,0.25399747490882874,0.8785942196846008,0.299501895904541,0.0005000000237487257
37,0.9029552936553955,0.2519383430480957,0.8690096139907837,0.2968069612979889,0.0005000000237487257
38,0.8981629610061646,0.2525971233844757,0.8658146858215332,0.2956453859806061,0.0005000000237487257
39,0.9021565318107605,0.25341683626174927,0.8753993511199951,0.29715079069137573,0.0005000000237487257
40,0.9021565318107605,0.25048425793647766,0.8722044825553894,0.2980108857154846,0.0005000000237487257
41,0.904552698135376,0.24964065849781036,0.8817891478538513,0.2976960837841034,0.0005000000237487257
42,0.9065495133399963,0.2446446567773819,0.8817891478538513,0.29519951343536377,0.0002500000118743628
43,0.9041533470153809,0.24478743970394135,0.8753993511199951,0.29557061195373535,0.0002500000118743628
44,0.905351459980011,0.24352671205997467,0.8722044825553894,0.29092249274253845,0.0002500000118743628
45,0.9077476263046265,0.24163994193077087,0.8753993511199951,0.29697638750076294,0.0002500000118743628
46,0.9065495133399963,0.241106316447258,0.8722044825553894,0.291114866733551,0.0002500000118743628
47,0.9073482155799866,0.24212071299552917,0.8817891478538513,0.2910486161708832,0.0002500000118743628
48,0.9057508111000061,0.23914587497711182,0.8753993511199951,0.29089492559432983,0.0001250000059371814
49,0.9073482155799866,0.23833611607551575,0.8817891478538513,0.2922854423522949,0.0001250000059371814
50,0.9065495133399963,0.23913559317588806,0.8753993511199951,0.29087263345718384,0.0001250000059371814
51,0.9061501622200012,0.23709052801132202,0.8753993511199951,0.2902287542819977,6.25000029685907e-05
52,0.9077476263046265,0.23637114465236664,0.8753993511199951,0.2898377478122711,6.25000029685907e-05
53,0.9065495133399963,0.23620831966400146,0.8722044825553894,0.28969892859458923,6.25000029685907e-05
54,0.9077476263046265,0.23555029928684235,0.8753993511199951,0.29028934240341187,6.25000029685907e-05
55,0.9077476263046265,0.2360052466392517,0.884984016418457,0.2929399907588959,6.25000029685907e-05
56,0.9085463285446167,0.23565222322940826,0.8785942196846008,0.28977063298225403,6.25000029685907e-05
57,0.9085463285446167,0.23501750826835632,0.8753993511199951,0.28955578804016113,3.125000148429535e-05
58,0.9077476263046265,0.23495110869407654,0.8753993511199951,0.2895854413509369,3.125000148429535e-05
59,0.9089456796646118,0.2347179800271988,0.8785942196846008,0.28966566920280457,3.125000148429535e-05
60,0.909744381904602,0.23464566469192505,0.8785942196846008,0.28952404856681824,3.125000148429535e-05
61,0.9093450307846069,0.23430810868740082,0.8753993511199951,0.28958356380462646,1.5625000742147677e-05
62,0.9081469774246216,0.23424039781093597,0.8785942196846008,0.2894060015678406,1.5625000742147677e-05
63,0.9093450307846069,0.23433297872543335,0.8753993511199951,0.2893108129501343,1.5625000742147677e-05
64,0.9089456796646118,0.23414388298988342,0.8753993511199951,0.2895117402076721,1.5625000742147677e-05
65,0.9093450307846069,0.23419292271137238,0.8753993511199951,0.28946253657341003,1.5625000742147677e-05
66,0.9093450307846069,0.23404479026794434,0.8753993511199951,0.28941646218299866,7.812500371073838e-06
67,0.9081469774246216,0.23400649428367615,0.8785942196846008,0.28941377997398376,7.812500371073838e-06
68,0.9089456796646118,0.2338884025812149,0.8753993511199951,0.28936105966567993,7.812500371073838e-06
