Best Val Accuracy: 0.9022,Epoch: 9

epoch,accuracy,loss,val_accuracy,val_loss
1,0.7333999276161194,0.5300617218017578,0.8183632493019104,0.4018639326095581
2,0.8267598748207092,0.3979291021823883,0.8502994179725647,0.372938871383667
3,0.8701947331428528,0.32604146003723145,0.8443113565444946,0.38261672854423523
4,0.8861707448959351,0.29166439175605774,0.8882235288619995,0.29452255368232727
5,0.9096355438232422,0.24491235613822937,0.886227548122406,0.2998634874820709
6,0.9236145615577698,0.2276468724012375,0.8962075710296631,0.2755628526210785
7,0.9276086091995239,0.1937798410654068,0.8922155499458313,0.2796518802642822
8,0.935097336769104,0.1780090034008026,0.8882235288619995,0.289273738861084
9,0.9440838694572449,0.1574215143918991,0.9021956324577332,0.3052697777748108
10,0.9505741596221924,0.14627695083618164,0.8942115902900696,0.3221265375614166
