Best Val Accuracy: 0.9381,Epoch: 12

epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8327508568763733,0.3802507221698761,0.39121755957603455,0.8874216675758362,0.0010000000474974513
2,0.9316025972366333,0.18112920224666595,0.39520958065986633,1.3546266555786133,0.0010000000474974513
3,0.9590613842010498,0.1138235405087471,0.45309382677078247,1.3280954360961914,0.0010000000474974513
4,0.9720419645309448,0.07631354033946991,0.5668662786483765,1.4171714782714844,0.0010000000474974513
5,0.9920119643211365,0.03767361119389534,0.5908183455467224,1.2333178520202637,0.0005000000237487257
6,0.9965052604675293,0.023759089410305023,0.7245509028434753,0.8428241014480591,0.0005000000237487257
7,0.9990015029907227,0.017641887068748474,0.8123752474784851,0.5117113590240479,0.0005000000237487257
8,0.9995007514953613,0.01388541515916586,0.9261476993560791,0.19230042397975922,0.0005000000237487257
9,0.9990015029907227,0.013027837499976158,0.9181636571884155,0.22864477336406708,0.0005000000237487257
10,0.9995007514953613,0.008149966597557068,0.9321357011795044,0.21876853704452515,0.0005000000237487257
11,0.9995007514953613,0.0082689318805933,0.9121756553649902,0.2599846422672272,0.0005000000237487257
12,1.0,0.005078508052974939,0.9381237626075745,0.1952316164970398,0.0002500000118743628
13,1.0,0.004185645841062069,0.9381237626075745,0.20176191627979279,0.0002500000118743628
